scuba-control-id,nist-800-53-control-id
GWS.GMAIL.5.6v1,"SI-3, SI-8"
GWS.GMAIL.6.1v1,"SI-3, SI-8"
GWS.GMAIL.6.2v1,"SI-3, SI-8"
GWS.GMAIL.6.3v1,"SI-4, SI-8, AT-2b"
GWS.GMAIL.6.4v1,"SI-3, SI-8"
GWS.GMAIL.6.5v1,"SI-3, SI-8"
GWS.GMAIL.7.1v1,SI-8
GWS.GMAIL.7.2v1,SI-8
GWS.GMAIL.7.3v1,SI-8
GWS.GMAIL.7.4v1,SI-8
GWS.GMAIL.7.5v1,SI-8
GWS.GMAIL.7.6v1,SI-8
GWS.GMAIL.7.7v1,SI-8
GWS.GMAIL.7.8v1,SI-8
GWS.GMAIL.8.1v1,"CM-7, SI-3, SI-8"
GWS.GMAIL.9.1v1,CM-7
GWS.GMAIL.10.1v1,CM-7
GWS.GMAIL.11.1v1,AC-4
GWS.GMAIL.12.1v1,AC-4
GWS.GMAIL.13.1v1,AT-2b
GWS.GMAIL.14.1v1,AC-4
GWS.GMAIL.15.1v1,"SI-3, SI-8"
GWS.GMAIL.15.2v1,"SI-3, SI-8"
GWS.GMAIL.16.1v1,"SI-3, SI-8"
GWS.GMAIL.16.2v1,"SI-3, SI-8"
GWS.GMAIL.17.1v1,"SI-12, SC-7(10)"
GWS.GMAIL.18.1v1,SI-8
GWS.GMAIL.18.2v1,SI-8
GWS.GMAIL.18.3v1,SI-8
GWS.GROUPS.1.1v1,AC-3
GWS.GROUPS.1.2v1,"CM-7, AC-6(10)"
GWS.GROUPS.1.3v1,"CM-7, AC-6(10)"
GWS.GROUPS.2.1v1,AC-6(10)
GWS.GROUPS.3.1v1,AC-6
GWS.GROUPS.4.1v1,CM-7
GWS.MEET.1.1v1,"IA-2, IA-8"
GWS.MEET.2.1v1,"IA-8, SC-7(10)"
GWS.MEET.3.1v1,CM-7
GWS.MEET.4.1v1,SC-15
GWS.MEET.5.1v1,"SI-8, SC-15a"
GWS.MEET.6.1v1,CM-7
GWS.MEET.6.2v1,CM-7
GWS.SITES.1.1v1,CM-7
